label,paper_location,description,script,output_csv,output_tex,depends_on_steps
tab:cohorts,Section 4 (sec:wind_sample),Treatment cohorts (design table),none -- hand-written in maintext.tex,,,
tab:wind_stats,Section 4 (sec:wind_sample),Wind development descriptive statistics,code/descriptive/build_descriptive.R,descriptive/tables/table_descriptive_stats.csv,descriptive/tables/table_descriptive_stats.tex,"1,2,3,10"
tab:balance,Section 5 (sec:siting),Treatment vs. selected control pre-treatment balance,code/twfe/build_balance_table.R,twfe/tables/table_balance.csv,twfe/tables/table_balance.tex,"1,3,7"
tab:main_results,Section 6 (sec:results),Main results -- headline estimate x 3 methods,code/build_main_results_table.R,tables/table_main_results.csv,tables/table_main_results.tex,"1,3,4,6,8,8b,9,11"
tab:cs_anticipation,Section 6 (sec:results),Callaway-Sant'Anna one-election anticipation sensitivity,code/callaway_santanna/build_cs_eventstudy.R,callaway_santanna/tables/table_cs_anticipation_sensitivity.csv,,"1,3,9"
tab:table_heckman_simple,Section 6 (sec:results),Heckman selection model (candidacy + reelection),code/heckman/build_heckman_simple.R,heckman/tables/table_heckman_simple.csv,heckman/tables/table_heckman_simple.tex,"1,8"
tab:baseline_results,Appendix (sec:appendix_baseline),Headline estimates under baseline (unmatched) control group,code/build_baseline_results_table.R,tables/table_baseline_results.csv,tables/table_baseline_results.tex,"1,3,4,6,9,12"
tab:hetero_region,Section 7 (sec:heterogeneity),Heterogeneity by region,code/twfe/build_results_table.R,twfe/tables/table_all_specs.csv (Category=Regions),twfe/tables/table_all_specs.tex,"1,3,4,6"
tab:hetero_size_income,Section 7 (sec:heterogeneity),Heterogeneity by size/income/competitiveness,code/twfe/build_results_table.R,twfe/tables/table_all_specs.csv (Category filtered),twfe/tables/table_all_specs.tex,"1,3,4,6"
tab:hetero_milestone_stability,Section 7 (sec:heterogeneity),Heterogeneity by milestone/turnover/electoral system/cohort,code/twfe/build_results_table.R,twfe/tables/table_all_specs.csv (Category filtered),twfe/tables/table_all_specs.tex,"1,3,4,6"
tab:rob_d705,Section 8 (sec:robustness_events),Placebo: CADA (D705) opening,code/robustness/build_results.R,robustness/tables/table_d705_main.csv,,"1,13,14"
tab:rob_desert,Section 8 (sec:robustness_events),Placebo: public-service desertification,code/robustness/build_results.R,robustness/tables/table_desert_main.csv,,"1,13,14"
tab:rob_school,Section 8 (sec:robustness_events),Placebo: elementary school closure,code/robustness/build_results.R,robustness/tables/table_school_main.csv,,"1,13,14"
tab:percode_abstention,Section 8 (sec:robustness_events),Abstention effect by individual facility type,code/robustness/build_results.R,robustness/tables/table_percode_abstention.csv,,"1,13,14"
tab:table_ipw_selection,Section 6 (sec:results),IPW-weighted TWFE vs. unweighted reelection effect,code/twfe/build_ipw_selection.R,twfe/tables/table_ipw_selection.csv,twfe/tables/table_ipw_selection.tex,"1,3,4,8b"
